PageId        BlockId          Dwell
0             43              1
1             44              1
2             45              1
3             46              1
4             47              1
5             48              1
6             49              1
7             50              1
8             51              1
9             52              1
10             53              1
11             54              1
12             55              1
13             56              1
14             57              1
15             58              1
16             59              1
17             60              1
18             61              1
19             -1              0
20             -1              0
21             -1              0
22             -1              0
23             -1              0
