PageId        BlockId          Dwell
0             62              1
1             63              1
2             64              1
3             65              1
4             66              1
5             67              1
6             68              1
7             69              1
8             70              1
9             71              1
10             72              1
11             73              1
12             74              1
13             -1              0
14             -1              0
15             -1              0
16             -1              0
17             -1              0
